subject,session,run,trial_idx,npy_path,image_name,category,caption,label
sub-02,ses-01,run-01,0,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03201208_14446,diningtable,Wooden diningtable with matching chairs on hardwood floor,10
sub-02,ses-01,run-01,1,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02410509_3128,cow,Cow grazing on green pasture near barn,9
sub-02,ses-01,run-01,2,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_005066,sheep,Sheep standing on hay inside yellow pen,16
sub-02,ses-01,run-01,3,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_000920,train,Red train on tracks near apartment buildings,18
sub-02,ses-01,run-01,4,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04344873_6021,sofa,Red patterned sofa on a concrete floor,17
sub-02,ses-01,run-01,5,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02403003_10075,cow,Cow grazing near branches and dirt,9
sub-02,ses-01,run-01,6,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03062245_4493,bottle,Bottle with cocktail recipes on a floral tray,4
sub-02,ses-01,run-01,7,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03062245_11146,bottle,Bottle with colorful art designs on newspaper,4
sub-02,ses-01,run-01,8,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04483307_8270,boat,Boat sailing on calm blue ocean water,3
sub-02,ses-01,run-01,9,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_002467,bottle,Three bottles standing on a brown surface,4
sub-02,ses-01,run-01,10,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_004525,dog,Dog lying on green grassy field,11
sub-02,ses-01,run-01,11,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_003203,person,Person with backpack near a gated doorway,15
sub-02,ses-01,run-01,12,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04487081_28394,bus,Articulated bus on paved plaza near stadium,5
sub-02,ses-01,run-01,13,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_000879,dog,Dog barking on a wooden floor indoors,11
