image_name,category,true_caption,retrieved_caption,CLIPScore_matched,CLIPScore_retrieved,CLIPScore_random,BERTScore_F1
000333,train,Freight train winding through rural landscape,Freight train traveling along rural tracks,0.28741473,0.29556644,0.09657807,0.9479001
2010_004832,dog,Dog near wooden table and Christmas tree,Dog near wooden table and Christmas tree,0.28290355,0.28290355,0.11393742,1.0000001
n04483307_9871,boat,Boat anchored near a cloudy shoreline,Racing boat gliding swiftly on ocean water,0.26057267,0.28031024,0.15376979,0.8873462
2009_000161,bicycle,Bicycle resting on a forest trail,Bicycle resting on a forest trail,0.31896865,0.31896865,0.12474008,0.99999994
n03095699_17813,boat,Boat carrying shipping containers on the sea,Container boat loaded with cargo at sea,0.2813617,0.30137014,0.17682658,0.9328153
n02410509_505,cow,Cow walking on grassy field near tents,Two sheep grazing on green grass,0.24812508,0.26684123,0.18791765,0.9081868
2009_000011,train,Freight train passing through mountain valley station,Maroon train traveling on city railway tracks,0.29317355,0.3109006,0.11368429,0.8957701
n03782006_15784,tvmonitor,tvmonitor displaying game prompt inside wooden cabinet,Old Compaq tvmonitor displaying Mac OS X,0.30712324,0.30753034,0.117859565,0.86300904
009860,train,Vintage train parked beside a quiet platform,Vintage train parked beside a quiet platform,0.2920366,0.2920366,0.1202244,1.0
n03983396_5791,bottle,Bottle collection displayed on a wooden shelf,Bottle of soda among other glass bottles,0.32099187,0.32422388,0.04830842,0.88512623
000115,bird,Bird perched on a wooden branch,Bird eating from a person's hand outdoors,0.29013854,0.3045293,0.16740626,0.9057376
n11939491_14952,flower,Purple flower with green blurred surroundings,Purple flower with green blurred surroundings,0.31956828,0.31956828,0.15351447,1.0000001
2009_001902,dog,Dog under wooden table on carpeted floor,Dog under wooden table on carpeted floor,0.314253,0.314253,0.14119875,1.0
2011_001827,train,Passenger train approaching through forested tracks,Freight train passing by a station platform,0.29137897,0.30465424,0.15415327,0.90429103
n04344873_22734,sofa,Sofa and bed in a cozy room,Beige folding chair on carpeted floor,0.24733838,0.25403145,0.12241577,0.88071555
2008_003302,bus,Red double-decker bus parked near trees,Red double-decker bus beside glass shelter,0.30820194,0.32165942,0.11545126,0.9439661
000712,train,Freight train passing through a wooded area,Freight train passing through a wooded area,0.31542534,0.31542534,0.15886915,1.0
n04344873_25195,sofa,Cream sofa with cushions and patterned rug,Cream sofa with cushions and patterned rug,0.3291399,0.3291399,0.06950456,1.0
2010_001126,boat,Boat cruising on river near a bridge,Container boat passing along a wide river,0.29659745,0.30470502,0.16917105,0.9042059
2009_000805,bicycle,Black bicycle on gray tiled floor,Black bicycle on gray tiled floor,0.30466402,0.30466402,0.1405422,1.0000001
001019,cat,Cat lounging on a patterned quilt,Cat with pink collar lying on blanket,0.28622139,0.29616123,0.1342382,0.9001239
n03201208_22139,diningtable,Diningtable with plates cups and scattered toys,Diningtable with plates cups and scattered toys,0.3806845,0.3806845,0.1610172,1.0
2009_002672,dog,Fluffy white dog resting on green grass,Fluffy white dog resting on green grass,0.33116245,0.33116245,0.18402246,1.0
n03792782_7578,bicycle,Bicycle with yellow rims on a red mat,Bicycle with yellow rims on a red mat,0.313365,0.313365,0.13703112,1.0
n03201208_22846,diningtable,Marble diningtable with white chairs and tiles,Marble diningtable with white chairs and tiles,0.3415053,0.3415053,0.15905342,1.0
2009_003901,cow,Cow resting on dirt near metal fence,Cow standing near a wire fence enclosure,0.29694402,0.31600386,0.21062629,0.93021864
n03782006_5311,tvmonitor,tvmonitor on wooden desk beside lamp,tvmonitor on wooden desk beside lamp,0.32704872,0.32704872,0.14739007,1.0000001
2010_000863,bird,White bird grooming feathers near travel map,White bird grooming feathers near travel map,0.32715392,0.32715392,0.11346815,1.0
2010_002452,motorbike,Motorbike parked on grass near trees,Classic motorbike parked by a grassy roadside,0.26853427,0.2861556,0.13837221,0.9384427
007993,aeroplane,Aeroplane on a wet airport runway,Aeroplane taxiing on a wet runway,0.28534257,0.28955355,0.06908917,0.9755601
n11939491_44102,flower,Yellow flower with green blurred surroundings,Yellow flower bloom against a dark backdrop,0.31709915,0.32392898,0.13296482,0.91428655
n11939491_19368,flower,Orange flower surrounded by green leaves and pots,Orange flower with soft green surroundings,0.32283553,0.34191632,0.16897875,0.9181052
2010_001089,cat,Long haired cat with green eyes outdoors,Cat face close-up with long whiskers,0.28843033,0.30113345,0.18392512,0.86404496
n03201208_20360,diningtable,Glass diningtable with metal chairs and art,Diningtable with chairs beside a yellow wall,0.310341,0.33805513,0.17009485,0.91012293
n02403003_1254,cow,Cow pulling a wooden cart on dirt road,Cow pulling a wooden cart on dirt road,0.31729913,0.31729913,0.13484734,1.0
n02408429_9790,cow,Cow grazing among tall green grass,Cow standing on grassy field near bush,0.27815205,0.27959624,0.2112028,0.8996965
003381,aeroplane,Aeroplane on runway near green grass,Aeroplane being towed on airport runway,0.270842,0.28668186,0.20829752,0.942997
n03983396_5514,bottle,Colorful bottle display arranged on a table,Colorful bottle display arranged on a table,0.33089322,0.33089322,0.1022531,1.0
n04152593_34082,tvmonitor,tvmonitor displaying rows of green question marks,Vintage tvmonitor displays green wireframe graphics,0.32346016,0.34619543,0.10896779,0.893583
009616,bird,Bird flying above flowering branches and leaves,Bird flying above flowering branches and leaves,0.2906775,0.2906775,0.10272829,1.0000001
n03201208_17049,diningtable,Diningtable set with plates and breakfast items,Diningtable with four chairs and ceramic bowls,0.29837775,0.30535018,0.097240195,0.9172696
n03201208_26293,diningtable,Diningtable set with four chairs and placemats,Diningtable set with four chairs and placemats,0.31817186,0.31817186,0.21386111,1.0
2011_001984,dog,Dog standing on a brick patio tiles,Dog with a green collar indoors,0.24953677,0.2630871,0.13813235,0.8831607
n02835271_26139,bicycle,Tandem bicycle on kitchen tile floor,Tandem bicycle on kitchen tile floor,0.31547475,0.31547475,0.12107439,1.0
n02389026_23597,horse,Horse running on green grassy hills,Horse and foal together on grassy field,0.30637422,0.3373274,0.11226476,0.93536496
n02835271_15617,bicycle,Bicycle with blue handlebars near garage doors,Bicycle with bamboo frame near a wall,0.2985533,0.32009792,0.13763835,0.9264777
n04344873_1397,sofa,Black leather sofa beside library bookshelves,Black leather sofa beside library bookshelves,0.3410719,0.3410719,0.26622444,0.9999999
n04483307_2987,boat,Small teal boat sailing on calm water,Small teal boat sailing on calm water,0.31814492,0.31814492,0.12148124,1.0
n04344873_15975,sofa,Beige sofa with dark wooden armrests,Beige sofa with dark wooden armrests,0.31718323,0.31718323,0.19985965,1.0
2009_001225,dog,Dog in a sweater standing on table,Dog in a sweater standing on table,0.33035785,0.33035785,0.23237166,1.0
n02403003_1819,cow,Cow standing on dirt near metal fencing,Brown horse standing in a fenced enclosure,0.24506612,0.27282184,0.15510538,0.9136443
2008_004758,bicycle,Bicycle leaning against bricks in scrapyard,Bicycle leaning against bricks in scrapyard,0.33206263,0.33206263,0.14101708,0.99999994
n04483307_235,boat,Racing boat gliding swiftly on ocean water,Racing boat gliding swiftly on ocean water,0.2912827,0.2912827,0.12591614,1.0
n03785016_18863,motorbike,Red motorbike parked beside a sidewalk,Red motorbike parked on quiet roadside grass,0.28009868,0.30326894,0.14284523,0.9315797
n03095699_266,boat,Boat carrying cargo containers on open water,Large cargo boat carrying colorful shipping containers,0.31002665,0.31750065,0.14888331,0.92828685
n04487081_3382,bus,Blue double-decker bus inside a garage,Blue double-decker bus inside a garage,0.33658537,0.33658537,0.12379573,1.0
n03376595_4004,chair,Metal chair on carpeted floor by wall,Beige folding chair on carpeted floor,0.28103754,0.29737902,0.10592696,0.9398235
n02412080_18910,sheep,Sheep standing together near a metal fence,Sheep with short wool in a pen,0.29511517,0.32508433,0.16796005,0.90174335
n03983396_14751,bottle,Bottle lineup with colorful plastic cups on counter,Bottle lineup of colorful sodas in snow,0.30768138,0.32043517,0.13759929,0.91537094
n04483307_911,boat,Sailboat gliding on a calm lake,Sailboat gliding on calm open water,0.30070072,0.30975956,0.09036552,0.9743266
n02791124_1740,chair,Barber chair with red seat in shop,Barber chair with red seat in shop,0.3418095,0.3418095,0.20435312,0.9999999
2008_006621,aeroplane,Aeroplane flying in clear blue sky,Aeroplane flying in clear blue sky,0.27999216,0.27999216,0.15583712,1.0
n11939491_6715,flower,White flower blooming among green stems,White daisy flower surrounded by green grass,0.2907764,0.337288,0.13683006,0.9138781
n03201208_4529,diningtable,Wooden diningtable with chairs and wall art,Wooden diningtable with chairs and wall art,0.29550612,0.29550612,0.12503171,1.0
2011_002448,horse,Horse standing near a metal water tank,Horse standing near a metal water tank,0.31537533,0.31537533,0.15993494,1.0
n04487081_21884,bus,Blue trolleybus driving down a city street,Blue trolleybus driving down a city street,0.31726965,0.31726965,0.15923604,1.0
2009_005158,cat,Tabby cat sitting on wooden floor,Tabby cat sitting on wooden floor,0.30199417,0.30199417,0.14744051,0.99999994
001852,sheep,Two sheep standing on grassy ground,Sheep with large horns on rocky terrain,0.30462918,0.30705845,0.2110171,0.90945
2010_002207,aeroplane,Aeroplane flying low against clear sky,Aeroplane being towed on airport runway,0.25657013,0.2646876,0.15330614,0.9125913
006338,train,Red double-decker train at a modern station,Red double-decker train at a modern station,0.32521054,0.32521054,0.16289803,1.0
n04344873_604,sofa,White sofa with cushion on studio floor,White sofa with cushion on studio floor,0.32880133,0.32880133,0.14815104,1.0000001
n03785016_4720,motorbike,Red motorbike parked by a wooden fence,Red motorbike parked beside a sidewalk,0.31412923,0.32302868,0.2962274,0.9620792
2009_003555,bus,Red double-decker bus beside glass shelter,Red double-decker bus beside glass shelter,0.331363,0.331363,0.13804516,1.0
n03983396_3518,bottle,Three soda bottles on a metal step stool,Bottle collection displayed on a wooden shelf,0.3355348,0.33760563,0.18622066,0.9089786
n11939491_6166,flower,White flower growing among dry grass,Flower with white petals surrounded by grass,0.3299386,0.34849972,0.11251818,0.90219367
n11939491_12773,flower,White flower with yellow center and greenery,White daisy flower with green foliage,0.30112985,0.3515935,0.12328209,0.92497057
n03792782_32766,bicycle,Black mountain bicycle indoors on red tile floor,Black mountain bicycle indoors on red tile floor,0.30489826,0.30489826,0.13354719,1.0
2008_001504,person,Person standing by a tree among green leaves,Person standing by a tree among green leaves,0.26049677,0.26049677,0.1329552,1.0
2009_003569,cow,Cow standing on a roadside with goats,Cow standing on a roadside with goats,0.34438682,0.34438682,0.15523954,1.0
n11939491_8127,flower,Yellow flower with green blurred surroundings,Yellow flower with green and brown center,0.32779288,0.3325842,0.16569662,0.92094994
n03785016_21720,motorbike,Black motorbike parked on concrete floor garage,Black bicycle on gray tiled floor,0.29574844,0.30194736,0.13302258,0.87930256
2008_004410,dog,Dog with a green collar indoors,Dog with beaded collar on asphalt road,0.2570885,0.26289368,0.12016893,0.9187741
2008_006090,bird,Bird walking on tiled floor with food,Bird walking on tiled floor with food,0.32974774,0.32974774,0.1862978,1.0
2008_001881,person,Two people bundled up outdoors at night,Two people bundled up outdoors at night,0.3158205,0.3158205,0.09180737,1.0
2009_003005,aeroplane,Aeroplane flying low against cloudy sky,Aeroplane landing on airport runway grass,0.26240185,0.2712406,0.091321476,0.9023907
n04344873_754,sofa,Beige sofa beside patterned rug and table,Cream sofa with cushions and patterned rug,0.35131392,0.36909473,0.1509282,0.9367351
007731,car,Car parked in front of green garage door,Car parked in front of green garage door,0.28668058,0.28668058,0.1836662,0.99999994
n04099969_1890,chair,Wooden chair with patterned cushion outdoors,Wicker rocking chair on a stone patio,0.29598406,0.3090367,0.075213835,0.89152396
n02389026_3401,horse,Young horse running on sandy paddock grass,Young horse foal trotting on green grass,0.30296436,0.31409365,-0.003438754,0.9368499
2008_000373,train,Train covered in bold silver graffiti artwork,Train covered in bold silver graffiti artwork,0.3056738,0.3056738,0.1405307,1.0
n04344873_2733,sofa,Wooden sofa with checkered fabric cover,Rustic wooden sofa with striped bedding,0.31088,0.31869477,0.11242883,0.9109054
n03376595_13596,chair,Wooden chair beside a patio table outdoors,Wooden chair among patio tables outside,0.2962173,0.30326396,0.09703416,0.9606501
005830,car,Rally car speeding on a dirt track,Rally car speeding on a dirt track,0.32053155,0.32053155,0.13252458,1.0
2009_000845,train,Steam train passing through a rural landscape,Steam train passing through a rural landscape,0.3096922,0.3096922,0.12388247,0.99999994
n04152593_58519,tvmonitor,tvmonitor displaying city scene above laptop desk,Dual tvmonitor screens on a computer desk,0.2802872,0.2975446,0.15160349,0.9003779
2008_006394,aeroplane,Aeroplane taxiing near large airport hangar,Aeroplane taxiing near large airport hangar,0.3000914,0.3000914,0.10935144,1.0
n04344873_38227,sofa,Orange sofa by a white brick wall,Orange sofa with cozy pillows and rug,0.33145744,0.35386577,0.119145885,0.8893675
n02417914_26383,sheep,Sheep climbing across a rocky slope,Sheep with large horns on rocky terrain,0.28908575,0.31426594,0.23736334,0.9295854
2008_006258,chair,Ornate wooden chair beside document organizer,Wooden chair with carved backrest among others,0.3328514,0.3385281,0.16845572,0.88991
n03785016_24816,motorbike,White motorbike parked on brick pathway outdoors,Blue motorbike parked on green grass,0.28106707,0.2850716,0.12820004,0.922883
n04344873_6795,sofa,Blue sofa beside plastic storage drawers,Plaid sofa with pillows beside a small table,0.31538066,0.33513638,0.13204822,0.8976813
000842,dog,White dog wearing a gold coat outdoors,White dog wearing a gold coat outdoors,0.29848447,0.29848447,0.17019671,1.0
2009_003297,cow,Cow grazing on an open grassy field,Cow standing on dry grassy plain,0.30438107,0.32330328,0.1754762,0.937225
n03785016_5559,motorbike,Yellow motorbike parked on pavement near wall,Yellow motorbike parked on pavement near wall,0.303545,0.303545,0.17683892,1.0
n03201208_21714,diningtable,Diningtable with wooden chairs on patterned rug,Diningtable set with four chairs and placemats,0.33935875,0.34420356,0.11142461,0.9036114
n03782006_15254,tvmonitor,tvmonitor on wooden desk near window curtains,Tvmonitor displaying blue screen beside keyboard setup,0.28797626,0.30455178,0.12551343,0.8749189
n04152593_8252,tvmonitor,Green monochrome tvmonitor displaying a retro computer menu,Vintage tvmonitor displaying green text interface,0.35992998,0.37147635,0.17128718,0.90957713
n03062245_1115,bottle,Metal bottle on a wooden table,Glass bottle with a metal lid on carpet,0.31093323,0.32667592,0.10034749,0.9341349
2009_002957,horse,Horse grazing near a wooden fence,Brown horse standing on muddy ground,0.29615647,0.31411535,0.1799874,0.9027334
n03201208_31029,diningtable,Diningtable with lace cloth and four chairs,Diningtable with lace cloth and four chairs,0.32208797,0.32208797,0.11676281,1.0
n02389026_6881,horse,Horse and foal together on grassy field,Horse and foal standing on grassy yard,0.30163598,0.30759996,0.1407923,0.96953136
000781,person,Person gazing upward beside another person,Person gazing upward beside another person,0.25319988,0.25319988,0.17951885,0.99999994
2009_000532,bus,Green bus driving on a suburban road,Green bus driving on a suburban road,0.32329252,0.32329252,0.12626967,1.0000001
2011_001508,motorbike,Red motorbike parked inside a garage,Red motorbike parked inside a garage,0.3162752,0.3162752,0.17871763,1.0000001
005123,train,Green train parked by leafless trees,Green train parked by leafless trees,0.3165735,0.3165735,0.16397437,1.0
2008_008233,bird,Brown bird with red eye against dark background,Bird with white head near wire fence,0.27925736,0.28341007,0.0852745,0.88608867
2010_002047,cow,Cow resting on green grassy field,Cow lying down in tall green grass,0.34794837,0.35485366,0.121114075,0.9427135
2011_000982,horse,Horse standing and grazing on grassy field,Young horse standing on green grass,0.32429925,0.34115237,0.15726379,0.9392287
2008_000581,cat,White cat resting on a concrete floor,White cat with odd eyes on pavement,0.2973709,0.30771324,0.12697895,0.90571725
2008_001810,bird,Bird with spread wings among tree branches,Bird with spread wings among tree branches,0.2982939,0.2982939,0.13503855,1.0000001
n04487081_19495,bus,White bus on city street near apartments,Bus parked on city street near buildings,0.31368738,0.3287711,0.14963546,0.9630277
n03201208_20988,diningtable,Large wooden diningtable with matching chairs,Diningtable with six chairs on wooden floor,0.29609078,0.3343698,0.106183715,0.93466246
2010_003429,sheep,Sheep standing on lush green grass,Sheep with curled horns standing on grass,0.31421953,0.3307398,0.15011838,0.94054985
n03792782_8550,bicycle,Bicycle leaning against a red shipping container,Bicycle leaning against a red shipping container,0.3455134,0.3455134,0.20569132,1.0
2009_004525,person,Person sitting on a bench near buildings,Person sitting on a bench near buildings,0.3036294,0.3036294,0.17647469,1.0
2008_001075,person,Person with dark hair against a white wall,Person with dark hair against a white wall,0.27816296,0.27816296,0.18297084,1.0000001
n02412080_3224,sheep,Sheep grazing on dry grassy hillside,Sheep with large horns on rocky terrain,0.2873045,0.33124372,0.14604592,0.9110936
n03785016_2325,motorbike,Blue motorbike parked by a white wall,Bicycle with blue handlebars near garage doors,0.26488048,0.30914846,0.26324868,0.8956695
2008_003871,person,Person smiling and flashing peace sign indoors,Person smiling and flashing peace sign indoors,0.29173765,0.29173765,0.2142328,1.0
n04487081_8949,bus,Bus driving through city street with buildings,Bus parked on city street near buildings,0.2980476,0.331398,0.05314626,0.93789524
000887,aeroplane,Aeroplane parked inside a large hangar,Aeroplane parked inside a large hangar,0.31005916,0.31005916,0.11389448,1.0
n02389026_5692,horse,Horse and foal walking on grassy field,Young horse foal trotting on green grass,0.28846675,0.3080579,0.13528939,0.9356476
2008_001534,person,Two people posing together at an outdoor gathering,Two people standing indoors under ceiling light,0.27951714,0.2842168,0.12570395,0.9014906
2009_000471,cow,Cow resting on grass beneath another cow,Cow resting on grass beneath another cow,0.33869195,0.33869195,0.20220293,1.0
n04487081_4612,bus,Bus parked on city street near buildings,Bus parked on city street near buildings,0.30326167,0.30326167,0.06727725,1.0
001143,cow,Cow standing on grassy field near bush,Cow standing near a wire fence enclosure,0.3174758,0.32831514,0.2294395,0.9008163
2010_005016,bird,White bird resting on concrete ground,White bird resting on concrete ground,0.29957503,0.29957503,0.13182262,1.0
n11939491_9997,flower,Purple flower with water droplets among green leaves,Pink flower with water droplets outdoors,0.3110137,0.3157916,0.13874274,0.93549496
006643,bird,Pink bird perched near a metal fence,Pink bird perched near a metal fence,0.31367263,0.31367263,0.11003932,1.0
2010_000329,sofa,Beige sofa beside wooden chest and magazines,Brown sofa on carpeted living room floor,0.28659573,0.3145944,0.15735014,0.884047
2011_000634,cat,Cat sleeping comfortably on a gray couch,Tabby cat resting on a red couch,0.2762799,0.29384995,0.13803206,0.9500036
2008_004471,person,Person standing by a waterfront railing,Person standing by a waterfront railing,0.30312246,0.30312246,0.16802727,1.0
2008_000512,bird,White bird standing near tall trees,White bird standing near tall trees,0.2944845,0.2944845,0.10763958,1.0
2008_000804,aeroplane,Aeroplane parked on a wet airport runway,Aeroplane parked on a wet airport runway,0.31550258,0.31550258,0.12215333,1.0000001
2008_006629,cat,Cat curled up on a bathroom toilet lid,Cat curled up on a bathroom toilet lid,0.33005643,0.33005643,0.109012455,1.0
n03376595_8137,chair,Worn yellow chair leaning against a tree,Worn yellow chair leaning against a tree,0.37607387,0.37607387,0.21814758,1.0
2009_000801,aeroplane,Aeroplane parked on a sunny airstrip,Aeroplane parked on a sunny airstrip,0.29985186,0.29985186,0.15241072,1.0
2010_001571,dog,Dog wrapped in a brown blanket,Dog wrapped in a brown blanket,0.31121665,0.31121665,0.13307925,1.0
2009_002725,train,Blue steam train moving along railway tracks,Blue steam train moving along railway tracks,0.30567694,0.30567694,0.2165024,0.99999994
n03201208_45544,diningtable,Wooden diningtable with six patterned chairs,Diningtable with lace cloth and four chairs,0.32640603,0.33262044,0.10074825,0.92875975
2009_003481,horse,Horse standing among mossy fallen trees,Three horses grazing and resting near trees,0.31694448,0.32828176,0.22339335,0.9117494
n03201208_3849,diningtable,Glass diningtable with black chairs on wood floor,Glass diningtable with four cushioned chairs nearby,0.31378084,0.32194215,0.20949659,0.92526
003772,horse,Horse with colorful saddle on rocky ground,Horse with colorful saddle on rocky ground,0.33206493,0.33206493,0.10475479,1.0
000835,train,Two colorful trains pass through a rural station,Two colorful trains pass through a rural station,0.32215077,0.32215077,0.106631674,1.0
002045,car,White sports car displayed in a showroom,White sports car displayed in a showroom,0.3226106,0.3226106,0.14909494,1.0
2009_005156,bicycle,Bicycle with yellow bag beside wooden chest,Bicycle with yellow bag beside wooden chest,0.35482538,0.35482538,0.16970979,1.0
2009_001180,horse,White horse with halter against gray wall,White horse with halter against gray wall,0.3347685,0.3347685,0.22867231,0.99999994
004970,horse,Horse standing among leafless trees outdoors,Brown horse with bridle outdoors,0.2829585,0.3129441,0.119707845,0.88415915
2010_004116,car,Black car parked on city street,Black vintage car driving on city street,0.2455411,0.27130643,0.11256856,0.9554239
002576,cow,Cow standing near a barbed wire fence,Cow standing near a wire fence enclosure,0.33583796,0.34322193,0.20567746,0.9567063
2008_002526,person,Person dancing near a brick wall,Person dancing at a formal indoor event,0.23569578,0.26194513,0.10237367,0.92465615
n03983396_13209,bottle,Bottle of fruit soda on a store shelf,Bottle of fruit soda on a store shelf,0.3197631,0.3197631,0.095707074,1.0
n04487081_40921,bus,Orange bus driving on a busy city street,Electric bus on city street with buildings,0.30135334,0.31090513,0.070829,0.92795557
001879,sofa,Red sofa against white wall with framed art,Red sofa against white wall with framed art,0.35107666,0.35107666,0.1335745,1.0
n02791124_2173,chair,Red and yellow chair in barber shop,Red and yellow chair in barber shop,0.36677244,0.36677244,0.11550478,1.0
n02389026_1551,horse,Horse grazing under leafy green tree,Horse grazing under leafy green tree,0.34825712,0.34825712,0.18022804,1.0
005391,aeroplane,Aeroplane parked on a grassy field,Silver aeroplane displayed on outdoor tarmac,0.2940738,0.3093718,0.09358129,0.91192645
004416,bird,Red bird standing on tangled vines indoors,Red bird standing on tangled vines indoors,0.3324362,0.3324362,0.13352822,1.0
2010_004143,motorbike,Blue motorbike parked near a metal shed,Blue motorbike parked on a driveway,0.31262648,0.3257668,0.14386164,0.96012217
007837,aeroplane,Aeroplane on grassy airfield near hangars,Silver aeroplane displayed on outdoor tarmac,0.28774756,0.29980916,0.10723797,0.9047162
n04487081_8369,bus,Bus parked beside a tree-lined street,Bus parked beside a tree-lined street,0.31539333,0.31539333,0.14767912,1.0
